topic,law_title,date,law_url
Visa Issues,Monthly entry clearance visa application: July 2025,2025-07-08,https://www.gov.uk/government/statistics/announcements/monthly-entry-clearance-visa-application-july-2025
Visa Issues,EU Settlement Scheme: guidance for immigration advisers,2025-07-08,https://www.gov.uk/government/publications/guidance-for-euss-advisers
Visa Issues,China: tuberculosis test clinics for a UK visa,2025-07-08,https://www.gov.uk/government/publications/tuberculosis-test-for-a-uk-visa-clinics-in-china
Visa Issues,Monthly entry clearance visa applications: June 2025,2025-07-08,https://www.gov.uk/government/statistics/announcements/monthly-entry-clearance-visa-applications-june-2025
Visa Issues,USA: apply for a UK visa,2025-07-07,https://www.gov.uk/government/publications/usa-apply-for-a-uk-visa
Visa Issues,Apply for a UK visa in the USA,2025-07-07,https://www.gov.uk/government/publications/usa-apply-for-a-uk-visa/apply-for-a-uk-visa-in-the-usa
Rwanda & Policy,National transfer scheme protocol for unaccompanied asylum seeking children (accessible),2025-07-07,https://www.gov.uk/government/publications/unaccompanied-asylum-seeking-children-interim-national-transfer-scheme/national-transfer-scheme-protocol-for-unaccompanied-asylum-seeking-children-accessible
Rwanda & Policy,Unaccompanied asylum seeking children: national transfer scheme,2025-07-07,https://www.gov.uk/government/publications/unaccompanied-asylum-seeking-children-interim-national-transfer-scheme
Rwanda & Policy,Assessing age for asylum applicants: caseworker guidance,2025-07-04,https://www.gov.uk/government/publications/assessing-age-instruction
Visa Issues,Enforcement and criminal investigations (immigration staff guidance),2025-07-03,https://www.gov.uk/government/collections/enforcement-and-criminal-investigations-modernised-guidance
Visa Issues,Immigration providers south west support directory,2025-07-02,https://www.gov.uk/government/publications/immigration-providers-south-west-support-directory
Home Office Complaints,Home Office immigration and nationality fees: 1 May 2025,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-1-may-2025
Visa Issues,Major immigration reforms delivered to restore order and control,2025-07-01,https://www.gov.uk/government/news/major-immigration-reforms-delivered-to-restore-order-and-control
Visa Issues,Home Office immigration and nationality fees: 11 December 2024,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-11-december-2024
Home Office Complaints,Home Office immigration and nationality fees: 25 October 2023,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-25-october-2023
Rwanda & Policy,Immigration Rules Appendix Afghan Relocation and Assistance Policy (ARAP),2025-07-01,https://www.gov.uk/guidance/immigration-rules/immigration-rules-appendix-afghan-relocation-and-assistance-policy-arap
Home Office Complaints,Home Office immigration and nationality fees: 11 December 2024,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-11-december-2024
Home Office Complaints,Home Office immigration and nationality fees: 9 April 2025,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-9-april-2025
Home Office Complaints,"Home Office immigration and nationality fees, 1 July 2025",2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-1-july-2025
Visa Issues,"Home Office immigration and nationality fees, 1 July 2025",2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-1-july-2025
Home Office Complaints,Home Office immigration and nationality fees: 13 April 2023,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-13-april-2023
Home Office Complaints,Home Office immigration and nationality fees: 7 September 2023,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-7-september-2023
Home Office Complaints,Home Office immigration and nationality fees: 1 July 2024,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-1-july-2024
Home Office Complaints,Home Office immigration and nationality fees: 24 July 2024,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-24-july-2024
Home Office Complaints,Home Office immigration and nationality fees: 31 January 2024,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-31-january-2024
Home Office Complaints,Home Office immigration and nationality fees: 29 June 2023,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-29-june-2023
Home Office Complaints,Home Office immigration and nationality fees: 4 October 2023,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-4-october-2023
Home Office Complaints,Home Office immigration and nationality fees: 24 October 2024,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-24-october-2024
Visa Issues,Home Office immigration and nationality fees: 1 May 2025,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-1-may-2025
Home Office Complaints,Home Office immigration and nationality fees: 10 April 2024,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-10-april-2024
Visa Issues,Home Office immigration and nationality fees: 9 April 2025,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-9-april-2025
Visa Issues,Home Office immigration and nationality fees: 24 July 2024,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-24-july-2024
Visa Issues,"Immigration system statistics, year ending June 2025",2025-07-01,https://www.gov.uk/government/statistics/announcements/immigration-system-statistics-year-ending-june-2025
Visa Issues,Immigration Rules,2025-07-01,https://www.gov.uk/guidance/immigration-rules
Visa Issues,"Statement of changes to the Immigration Rules: HC 997, 1 July 2025",2025-07-01,https://www.gov.uk/government/publications/statement-of-changes-to-the-immigration-rules-hc-997-1-july-2025
Visa Issues,Home Office immigration and nationality fees: 7 September 2023,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-7-september-2023
Visa Issues,Immigration Rules Appendix Afghan Relocation and Assistance Policy (ARAP),2025-07-01,https://www.gov.uk/guidance/immigration-rules/immigration-rules-appendix-afghan-relocation-and-assistance-policy-arap
Visa Issues,Home Office immigration and nationality fees: 1 July 2024,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table/home-office-immigration-and-nationality-fees-1-july-2024
Visa Issues,UK visa fees,2025-07-01,https://www.gov.uk/government/publications/visa-regulations-revised-table
Visa Issues,Immigration Rules: statement of changes,2025-07-01,https://www.gov.uk/government/collections/immigration-rules-statement-of-changes
